cohort,sample_index,match_id,hit_frame,true_class,pred_class,confidence,smash_drop_margin,hit_area,hit_height,court_zone,aroundhead,backhand,ball_round,prev_shot,raw_hv_ratio,early_post_vel,vel_decay_ratio
Top30_DROP_to_SMASH,952,MATCH08,42548,DROP,SMASH,0.7275,1.3282,9,1,Rearcourt,0,0,27,CLEAR,1.1678,2.8338,0.9426
Top30_DROP_to_SMASH,1027,MATCH31,55608,DROP,SMASH,0.7176,1.2702,6,1,Midcourt,0,0,22,PUSH/DRIVE,1.0202,1.9316,1.2515
Top30_DROP_to_SMASH,866,MATCH07,19525,DROP,SMASH,0.6959,0.9603,8,1,Rearcourt,0,0,5,CLEAR,0.9370,2.9834,0.9566
Top30_DROP_to_SMASH,887,MATCH07,27645,DROP,SMASH,0.6851,0.8278,3,1,Frontcourt,0,0,10,LIFT/CLEAR,2.4460,2.7182,1.0747
Top30_DROP_to_SMASH,931,MATCH07,86856,DROP,SMASH,0.6659,1.0214,8,1,Rearcourt,0,0,7,PUSH/DRIVE,2.6022,2.6037,1.0738
Top30_DROP_to_SMASH,929,MATCH07,85215,DROP,SMASH,0.6618,0.9173,4,1,Midcourt,0,0,6,CLEAR,1.8803,2.3246,1.2529
Top30_DROP_to_SMASH,969,MATCH25,18118,DROP,SMASH,0.6425,0.6401,3,1,Frontcourt,1,0,8,LIFT/CLEAR,1.2966,2.8315,0.7120
Top30_DROP_to_SMASH,958,MATCH08,61513,DROP,SMASH,0.6358,0.8220,9,1,Rearcourt,0,0,4,LIFT/CLEAR,1.5468,2.7279,0.9240
Top30_DROP_to_SMASH,1115,MATCH38,86708,DROP,SMASH,0.6336,0.8366,8,1,Rearcourt,1,0,5,DRIVE,1.3199,2.3376,0.9069
Top30_DROP_to_SMASH,997,MATCH25,85764,DROP,SMASH,0.6176,0.5289,9,1,Rearcourt,1,0,9,CLEAR,1.2845,1.2431,1.5430
Top30_DROP_to_SMASH,864,MATCH07,17829,DROP,SMASH,0.6037,0.5017,8,1,Rearcourt,0,0,10,CLEAR,0.8938,2.9315,0.9688
Top30_DROP_to_SMASH,915,MATCH07,64681,DROP,SMASH,0.5745,0.4340,5,1,Midcourt,0,0,3,PUSH/DRIVE,1.5938,3.2104,0.8529
Top30_DROP_to_SMASH,1079,MATCH38,30989,DROP,SMASH,0.5586,0.4176,5,1,Midcourt,1,0,7,LIFT/CLEAR,1.7293,1.9084,0.9419
Top30_DROP_to_SMASH,1139,MATCH40,28899,DROP,SMASH,0.5585,0.6035,8,1,Rearcourt,0,0,8,LIFT/CLEAR,2.5410,1.8141,1.1219
Top30_DROP_to_SMASH,1015,MATCH31,41378,DROP,SMASH,0.5576,0.5449,5,1,Midcourt,0,0,24,CLEAR,1.7481,1.7670,1.3643
Top30_DROP_to_SMASH,922,MATCH07,78416,DROP,SMASH,0.5465,0.4570,6,1,Midcourt,0,0,12,CLEAR,2.5342,2.3401,1.2233
Top30_SMASH_to_DROP,331,MATCH40,72334,SMASH,DROP,0.8099,-2.1221,9,1,Rearcourt,0,0,2,SERVE_LONG,1.1823,1.3110,1.4790
Top30_SMASH_to_DROP,315,MATCH40,41161,SMASH,DROP,0.7944,-2.2928,9,1,Rearcourt,0,0,7,LIFT/CLEAR,1.1503,2.1893,0.7967
Top30_SMASH_to_DROP,308,MATCH38,110574,SMASH,DROP,0.7251,-1.3733,9,1,Rearcourt,1,0,15,LIFT/CLEAR,2.4803,1.7637,1.5244
Top30_SMASH_to_DROP,216,MATCH38,17780,SMASH,DROP,0.7188,-2.1191,,1,Unknown,1,0,2,UNKNOWN,1.4866,1.7213,1.1896
Top30_SMASH_to_DROP,154,MATCH31,52333,SMASH,DROP,0.7083,-1.1655,9,1,Rearcourt,0,0,7,LIFT/CLEAR,1.0615,1.8807,1.2755
Top30_SMASH_to_DROP,194,MATCH37,60936,SMASH,DROP,0.6966,-1.2579,8,1,Rearcourt,1,0,19,LIFT/CLEAR,2.9263,2.5326,1.1049
Top30_SMASH_to_DROP,250,MATCH38,51262,SMASH,DROP,0.6913,-1.8750,3,1,Frontcourt,1,0,8,CLEAR,5.5564,2.8176,0.7433
Top30_SMASH_to_DROP,167,MATCH31,71888,SMASH,DROP,0.6312,-0.6455,3,1,Frontcourt,0,0,8,LIFT/CLEAR,1.7587,2.0779,1.2173
Top30_SMASH_to_DROP,225,MATCH38,26531,SMASH,DROP,0.6157,-1.9842,9,1,Rearcourt,1,0,8,CLEAR,1.9001,1.4270,1.2601
Top30_SMASH_to_DROP,193,MATCH37,60647,SMASH,DROP,0.6150,-0.6123,9,1,Rearcourt,0,0,7,LIFT/CLEAR,3.1938,2.2188,1.1141
Top30_SMASH_to_DROP,232,MATCH38,29004,SMASH,DROP,0.6098,-1.1582,9,1,Rearcourt,0,0,2,SERVE_LONG,1.5087,1.5525,1.3876
Top30_SMASH_to_DROP,254,MATCH38,55119,SMASH,DROP,0.6013,-1.9863,8,1,Rearcourt,1,0,7,DRIVE,2.5046,2.2082,1.1671
Top30_SMASH_to_DROP,133,MATCH25,22368,SMASH,DROP,0.5964,-1.1301,9,1,Rearcourt,0,0,6,LIFT/CLEAR,1.7402,1.8316,1.3441
Top30_SMASH_to_DROP,141,MATCH25,90471,SMASH,DROP,0.5947,-0.7637,6,1,Midcourt,0,0,4,CLEAR,1.4317,2.2224,0.9893
Top30_SMASH_to_DROP,324,MATCH40,53709,SMASH,DROP,0.5919,-1.0705,9,1,Rearcourt,0,0,8,CLEAR,1.1116,1.6452,1.3434
Top30_SMASH_to_DROP,330,MATCH40,70818,SMASH,DROP,0.5886,-0.6200,14,1,Unknown,0,0,2,UNKNOWN,1.6305,1.6603,0.9915
Top30_SMASH_to_DROP,329,MATCH40,70028,SMASH,DROP,0.5660,-1.7046,8,1,Rearcourt,0,0,4,CLEAR,1.7836,1.9794,1.1030
Top30_SMASH_to_DROP,319,MATCH40,44991,SMASH,DROP,0.5639,-0.3634,8,1,Rearcourt,1,0,8,DRIVE,1.9985,2.2363,0.8378
Top30_SMASH_to_DROP,312,MATCH40,19414,SMASH,DROP,0.5605,-0.6943,8,1,Rearcourt,0,0,15,LIFT/CLEAR,1.3564,1.5798,1.2002
Top30_SMASH_to_DROP,288,MATCH38,90278,SMASH,DROP,0.5548,-0.7630,13,1,Unknown,1,0,14,LIFT/CLEAR,1.9051,2.0665,1.1161
Top30_SMASH_to_DROP,292,MATCH38,94581,SMASH,DROP,0.5516,-1.2660,5,1,Midcourt,1,0,12,CLEAR,3.0256,2.7474,0.9402
Top30_SMASH_to_DROP,261,MATCH38,64736,SMASH,DROP,0.5458,-1.6028,6,1,Midcourt,0,0,5,CLEAR,1.7834,1.9733,0.8614
Top30_SMASH_to_DROP,243,MATCH38,38366,SMASH,DROP,0.5380,-0.5878,,1,Unknown,1,0,2,UNKNOWN,2.3561,1.6090,1.4001
Top30_SMASH_to_DROP,220,MATCH38,20636,SMASH,DROP,0.5376,-0.5299,,1,Unknown,1,0,2,UNKNOWN,1.6154,1.7923,1.2333
Top30_SMASH_to_DROP,131,MATCH25,13651,SMASH,DROP,0.5370,-0.3057,9,1,Rearcourt,0,0,4,CLEAR,1.4886,1.6676,1.2655
Top30_SMASH_to_DROP,215,MATCH38,17289,SMASH,DROP,0.5364,-0.8642,,1,Unknown,1,0,2,UNKNOWN,1.8878,2.0008,0.9301
Top30_SMASH_to_DROP,74,MATCH07,82071,SMASH,DROP,0.5268,-0.5296,8,1,Rearcourt,0,0,9,LIFT/CLEAR,2.0855,2.7089,0.9356
Top30_SMASH_to_DROP,98,MATCH08,21769,SMASH,DROP,0.5210,-1.7009,8,1,Rearcourt,1,0,4,DRIVE,2.2573,3.2089,0.8837
Top30_SMASH_to_DROP,295,MATCH38,98518,SMASH,DROP,0.5182,-2.1470,8,1,Rearcourt,1,0,3,CLEAR,2.3351,2.4175,0.8904
Top30_SMASH_to_DROP,165,MATCH31,68415,SMASH,DROP,0.5162,-0.8750,8,1,Rearcourt,0,0,2,SERVE_LONG,1.0367,2.1486,0.9925
